number,ticker,cap,name,industry,sector
1,IMO,38.33B,Imperial Oil Limited,Oil & Gas Integrated,Energy
2,SIM,4.13B,"Grupo Simec, S.A.B. de C.V.",Steel,Materials
3,BTG,3.82B,B2Gold Corp.,Gold,Materials
4,GSAT,3.69B,"Globalstar, Inc.",Telecom Services,Communication Services
5,UEC,3.42B,Uranium Energy Corp.,Uranium,Energy
6,PRK,3.08B,Park National Corporation,Banks - Regional,Financials
7,EQX,2.59B,Equinox Gold Corp.,Gold,Materials
8,SEB,2.54B,Seaboard Corporation,Conglomerates,Industrials
9,NGD,2.20B,New Gold Inc.,Gold,Materials
10,DNN,2.15B,Denison Mines Corp.,Uranium,Energy
11,NHC,1.93B,National HealthCare Corporation,Medical Care Facilities,Healthcare
12,MAG,1.61B,MAG Silver Corp.,Silver,Materials
13,ORLA,1.56B,Orla Mining Ltd.,Gold,Materials
14,SILV,1.53B,SilverCrest Metals Inc.,Other Precious Metals & Mining,Materials
15,LEU,1.49B,Centrus Energy Corp.,Uranium,Energy
16,UUUU,1.43B,Energy Fuels Inc.,Uranium,Energy
17,CET,1.33B,Central Securities Corporation,Asset Management,Financials
18,NG,1.23B,NovaGold Resources Inc.,Gold,Materials
19,IE,1.15B,Ivanhoe Electric Inc.,Copper,Materials
20,TMP,1.10B,Tompkins Financial Corporation,Banks - Regional,Financials
21,SKYH,837.49M,Sky Harbour Group Corporation,Aerospace & Defense,Industrials
22,REPX,754.05M,"Riley Exploration Permian, Inc.",Oil & Gas Exploration & Production,Energy
23,SVM,714.33M,Silvercorp Metals Inc.,Silver,Materials
24,STRW,662.08M,"Strawberry Fields REIT, Inc.",REIT - Healthcare Facilities,Real Estate
25,ARMN,657.49M,Aris Mining Corporation,Gold,Materials
26,HYLN,641.08M,Hyliion Holdings Corp.,Auto Parts,Consumer Discretionary
27,TGB,621.64M,Taseko Mines Limited,Copper,Materials
28,BHB,549.49M,Bar Harbor Bankshares,Banks - Regional,Financials
29,SLSR,520.63M,Solaris Resources Inc.,Other Precious Metals & Mining,Materials
30,GRO,502.23M,Brazil Potash Corp.,Agricultural Inputs,Materials
31,VZLA,501.39M,Vizsla Silver Corp.,Other Industrial Metals & Mining,Materials
32,URG,475.59M,Ur-Energy Inc.,Uranium,Energy
33,SEG,430.07M,Seaport Entertainment Group Inc.,Real Estate Services,Real Estate
34,OBE,425.37M,Obsidian Energy Ltd.,Oil & Gas Exploration & Production,Energy
35,VENU,406.69M,Venu Holding Corporation,Entertainment,Communication Services
36,NFGC,367.71M,New Found Gold Corp.,Gold,Materials
37,GAU,363.32M,Galiano Gold Inc.,Gold,Materials
38,RLGT,350.39M,"Radiant Logistics, Inc.",Integrated Freight & Logistics,Industrials
39,NEWP,346.29M,New Pacific Metals Corp.,Other Precious Metals & Mining,Materials
40,SLI,340.92M,Standard Lithium Ltd.,Other Industrial Metals & Mining,Materials
41,CIX,340.12M,CompX International Inc.,Security & Protection Services,Industrials
