Symbol,Description,Market capitalization,Market capitalization - Currency,Sector,Industry,Exchange,Country of registration,Float shares outstanding,Float shares %
A,"Agilent Technologies, Inc.",39938545746,USD,Health technology,Medical specialties,NYSE,United States,286099960.128,99.57260000000001
AA,Alcoa Corporation,10106840591,USD,Non-energy minerals,Aluminum,NYSE,United States,256397702.51999998,99.24239999999999
AACG,ATA Creativity Global,28448409,USD,Commercial services,Miscellaneous commercial services,NASDAQ,China,,
AACT,Ares Acquisition Corporation II,683749973.9999999,USD,Finance,Financial conglomerates,NYSE,United States,46461400,92.92280000000001
AACT.U,Ares Acquisition Corporation II,683749974,USD,Finance,Financial conglomerates,NYSE,United States,50000000,100
AADI,"Aadi Bioscience, Inc.",59400217,USD,Health technology,Biotechnology,NASDAQ,United States,20092733.0118,81.52069999999999
AAL,"American Airlines Group, Inc.",11118656256,USD,Transportation,Airlines,NASDAQ,United States,648709866.235,98.71849999999999
AAM,AA Mission Acquisition Corp.,443257920,USD,Finance,Financial conglomerates,NYSE,United States,36474014.43,82.9445
AAM.U,AA Mission Acquisition Corp.,532039000,USD,Finance,Financial conglomerates,NYSE,United States,30000000,100
AAME,Atlantic American Corporation,30599636,USD,Finance,Multi-line insurance,NASDAQ,United States,3833224.4189999998,18.790499999999998
AAOI,"Applied Optoelectronics, Inc.",1642198887,USD,Electronic technology,Semiconductors,NASDAQ,United States,41916189.661,92.9855
AAON,"AAON, Inc.",10673640942,USD,Producer manufacturing,Industrial machinery,NASDAQ,United States,67042583.9844,82.4839
AAP,Advance Auto Parts Inc.,2619955746.9999995,USD,Retail trade,Specialty stores,NYSE,United States,59066070.945,98.881
AAPL,Apple Inc.,3750689294892,USD,Electronic technology,Telecommunications equipment,NASDAQ,United States,15102558559.2,99.9124
AAT,"American Assets Trust, Inc.",1694281960,USD,Finance,Real estate investment trusts,NYSE,United States,45923399.5944,75.4059
AB,AllianceBernstein Holding L.P.,4078001195,USD,Finance,Investment managers,NYSE,United States,104701479.705,92.3823
