Symbol,Description,Assets under management,Assets under management - Currency,Asset class,Focus,Brand,Category,Country of registration,Niche,Region,Strategy,Leverage,Portfolio transparency,Selection criteria,Weighting scheme,Index provider,Currency hedged,Derivative holdings,Tax form,UCITS compliance,Fund flows 1 month,Fund flows 1 month - Currency,Net assets value,Net assets value - Currency
SPY,SPDR S&P 500 ETF TRUST,644714071086.859,USD,Equity,Large cap,SPDR,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,6822582227.999999,USD,604.323383,USD
VOO,Vanguard S&P 500 ETF,588638486718.644,USD,Equity,Large cap,Vanguard,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Semi or non-transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,9228108597.773619,USD,555.6,USD
IVV,iShares Core S&P 500 ETF,576553021921.6,USD,Equity,Large cap,iShares,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,4743274858.649999,USD,607.340177,USD
VTI,Vanguard Total Stock Market ETF,473492931000,USD,Equity,Total market,Vanguard,Size and style,United States,Broad-based,North America,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,Center for Research in Security Prices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,5928125767.709999,USD,299.88,USD
QQQ,"Invesco QQQ Trust, Series 1",325063569600,USD,Equity,Large cap,Invesco,Size and style,United States,Broad-based,North America,Exchange-specific,Non-leveraged,Transparent,NASDAQ - listed,Market cap,NASDAQ,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,-89720250,USD,530.567,USD
VUG,Vanguard Growth ETF,161524074134.416,USD,Equity,Large cap,Vanguard,Size and style,United States,Growth,North America,Growth,Non-leveraged,Semi or non-transparent,Multi-factor,Multi-factor,Center for Research in Security Prices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,3605576728.8684974,USD,423.73,USD
VEA,Vanguard FTSE Developed Markets ETF,137831109053.851,USD,Equity,Total market,Vanguard,Size and style,United States,Broad-based,Developed markets,Vanilla,Non-leveraged,Semi or non-transparent,Market cap,Market cap,FTSE Group,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,194554292.58977166,USD,49.97,USD
VTV,Vanguard Value ETF,130962922095.509,USD,Equity,Large cap,Vanguard,Size and style,United States,Value,North America,Value,Non-leveraged,Semi or non-transparent,Multi-factor,Multi-factor,Center for Research in Security Prices LLC,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,1421006958.8086443,USD,175.07,USD
IEFA,iShares Core MSCI EAFE ETF,121720993240,USD,Equity,Total market,iShares,Size and style,United States,Broad-based,Developed markets,Vanilla,Non-leveraged,Transparent,Market cap,Market cap,"MSCI, Inc.",Unhedged,Doesn't hold,1099 (corporations),Non-compliant,245150540,USD,73.462,USD
BND,Vanguard Total Bond Market ETF,121707262702.74,USD,Fixed income,Investment grade,Vanguard,"Broad market, broad-based",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,3210376000,USD,72.66,USD
AGG,iShares Core U.S. Aggregate Bond ETF,121017089200,USD,Fixed income,Investment grade,iShares,"Broad market, broad-based",United States,Broad maturities,North America,Vanilla,Non-leveraged,Transparent,Market value,Market value,Bloomberg Finance LP,Unhedged,Doesn't hold,1099 (corporations),Non-compliant,2091318980,USD,97.9127,USD
CSTNL,IShares VII PLC,108945693515.052,USD,Equity,Large cap,iShares,Size and style,Ireland,Broad-based,North America,Vanilla,Non-leveraged,Transparent,Committee,Market cap,S&P Dow Jones Indices LLC,Unhedged,Doesn't hold,1099 (corporations),Compliant,3376792307.5705004,USD,641.3632,USD
