number,ticker,cap,name,industry,sector
1,AAPL,"3,520.02B",Apple Inc.,Consumer Electronics,Technology
2,NVDA,"3,331.13B",NVIDIA Corporation,Semiconductors,Technology
3,MSFT,"3,113.65B",Microsoft Corporation,Software - Infrastructure,Technology
4,AMZN,"2,118.25B","Amazon.com, Inc.",Internet Retail,Consumer Discretionary
5,GOOGL,"2,052.20B",Alphabet Inc.,Internet Content & Information,Communication Services
6,GOOG,"2,026.84B",Alphabet Inc.,Internet Content & Information,Communication Services
7,META,"1,426.61B","Meta Platforms, Inc.",Internet Content & Information,Communication Services
8,TSLA,"1,086.89B","Tesla, Inc.",Auto Manufacturers,Consumer Discretionary
9,AVGO,769.80B,Broadcom Inc.,Semiconductors,Technology
10,COST,425.74B,Costco Wholesale Corporation,Discount Stores,Consumer Staples
11,NFLX,370.00B,"Netflix, Inc.",Entertainment,Communication Services
12,TMUS,278.45B,"T-Mobile US, Inc.",Telecom Services,Communication Services
13,ASML,268.64B,ASML Holding N.V.,Semiconductor Equipment & Materials,Technology
14,CSCO,233.95B,"Cisco Systems, Inc.",Communication Equipment,Technology
15,AMD,229.03B,"Advanced Micro Devices, Inc.",Semiconductors,Technology
16,ADBE,228.34B,Adobe Inc.,Software - Infrastructure,Technology
17,PEP,223.70B,"PepsiCo, Inc.",Beverages - Non-Alcoholic,Consumer Staples
18,LIN,216.98B,Linde plc,Specialty Chemicals,Materials
19,AZN,203.95B,AstraZeneca PLC,Drug Manufacturers - General,Healthcare
20,ISRG,191.11B,"Intuitive Surgical, Inc.",Medical Instruments & Supplies,Healthcare
21,TXN,185.12B,Texas Instruments Incorporated,Semiconductors,Technology
22,INTU,177.72B,Intuit Inc.,Software - Application,Technology
23,QCOM,176.45B,QUALCOMM Incorporated,Semiconductors,Technology
24,BKNG,169.09B,Booking Holdings Inc.,Travel Services,Consumer Discretionary
25,CMCSA,165.31B,Comcast Corporation,Telecom Services,Communication Services
26,AMGN,158.03B,Amgen Inc.,Drug Manufacturers - General,Healthcare
27,HON,149.95B,Honeywell International Inc.,Conglomerates,Industrials
28,ARM,146.80B,Arm Holdings plc,Semiconductors,Technology
29,AMAT,143.90B,"Applied Materials, Inc.",Semiconductor Equipment & Materials,Technology
30,PDD,139.84B,PDD Holdings Inc.,Internet Retail,Consumer Discretionary
31,PANW,126.77B,"Palo Alto Networks, Inc.",Software - Infrastructure,Technology
32,ADP,124.14B,"Automatic Data Processing, Inc.",Software - Application,Technology
33,SNY,121.94B,Sanofi,Drug Manufacturers - General,Healthcare
34,VRTX,118.90B,Vertex Pharmaceuticals Incorporated,Biotechnology,Healthcare
35,MU,115.84B,"Micron Technology, Inc.",Semiconductors,Technology
36,SBUX,115.47B,Starbucks Corporation,Restaurants,Consumer Discretionary
37,GILD,112.77B,"Gilead Sciences, Inc.",Drug Manufacturers - General,Healthcare
38,ADI,111.01B,"Analog Devices, Inc.",Semiconductors,Technology
39,INTC,107.26B,Intel Corporation,Semiconductors,Technology
40,APP,107.25B,AppLovin Corporation,Software - Application,Technology
41,MELI,106.46B,"MercadoLibre, Inc.",Internet Retail,Consumer Discretionary
42,LRCX,94.84B,Lam Research Corporation,Semiconductor Equipment & Materials,Technology
43,EQIX,94.01B,"Equinix, Inc.",REIT - Specialty,Real Estate
44,CTAS,90.30B,Cintas Corporation,Specialty Business Services,Industrials
45,CRWD,89.15B,"CrowdStrike Holdings, Inc.",Software - Infrastructure,Technology
46,ABNB,88.05B,"Airbnb, Inc.",Travel Services,Consumer Discretionary
47,PYPL,87.99B,"PayPal Holdings, Inc.",Credit Services,Financials
48,MSTR,87.24B,MicroStrategy Incorporated,Software - Application,Technology
49,MDLZ,86.84B,"Mondelez International, Inc.",Confectioners,Consumer Staples
50,SNPS,86.31B,"Synopsys, Inc.",Software - Infrastructure,Technology
51,KLAC,86.23B,KLA Corporation,Semiconductor Equipment & Materials,Technology
52,CDNS,85.68B,"Cadence Design Systems, Inc.",Software - Application,Technology
53,CME,82.66B,CME Group Inc.,Financial Data & Stock Exchanges,Financials
54,IBKR,80.69B,"Interactive Brokers Group, Inc.",Capital Markets,Financials
55,REGN,80.64B,"Regeneron Pharmaceuticals, Inc.",Biotechnology,Healthcare
56,MAR,80.03B,"Marriott International, Inc.",Lodging,Consumer Discretionary
57,MRVL,79.90B,"Marvell Technology, Inc.",Semiconductors,Technology
58,COIN,78.16B,"Coinbase Global, Inc.",Financial Data & Stock Exchanges,Financials
59,CEG,77.86B,Constellation Energy Corporation,Utilities - Renewable,Utilities
60,DASH,74.40B,"DoorDash, Inc.",Internet Content & Information,Communication Services
61,ORLY,71.51B,"O'Reilly Automotive, Inc.",Specialty Retail,Consumer Discretionary
62,FTNT,71.37B,"Fortinet, Inc.",Software - Infrastructure,Technology
63,WDAY,70.64B,"Workday, Inc.",Software - Application,Technology
64,CSX,70.62B,CSX Corporation,Railroads,Industrials
65,ADSK,68.68B,"Autodesk, Inc.",Software - Application,Technology
66,TEAM,67.97B,Atlassian Corporation,Software - Application,Technology
67,TTD,63.84B,"The Trade Desk, Inc.",Software - Application,Technology
68,CPRT,61.42B,"Copart, Inc.",Specialty Business Services,Industrials
69,CHTR,61.24B,"Charter Communications, Inc.",Telecom Services,Communication Services
70,PCAR,61.10B,PACCAR Inc,Farm & Heavy Construction Machinery,Industrials
71,ROP,59.83B,"Roper Technologies, Inc.",Software - Application,Technology
72,NXPI,59.43B,NXP Semiconductors N.V.,Semiconductors,Technology
73,NTES,55.32B,"NetEase, Inc.",Electronic Gaming & Multimedia,Communication Services
74,MNST,53.47B,Monster Beverage Corporation,Beverages - Non-Alcoholic,Consumer Staples
75,DDOG,53.21B,"Datadog, Inc.",Software - Application,Technology
76,FANG,52.43B,"Diamondback Energy, Inc.",Oil & Gas Exploration & Production,Energy
77,PAYX,52.28B,"Paychex, Inc.",Software - Application,Technology
78,AEP,52.24B,"American Electric Power Company, Inc.",Utilities - Regulated Electric,Utilities
79,ROST,50.86B,"Ross Stores, Inc.",Apparel Retail,Consumer Discretionary
80,JD,50.02B,"JD.com, Inc.",Internet Retail,Consumer Discretionary
81,ODFL,48.06B,"Old Dominion Freight Line, Inc.",Trucking,Industrials
82,FAST,47.98B,Fastenal Company,Industrial Distribution,Industrials
83,AXON,47.20B,"Axon Enterprise, Inc.",Aerospace & Defense,Industrials
84,NDAQ,46.85B,"Nasdaq, Inc.",Financial Data & Stock Exchanges,Financials
85,KDP,44.56B,Keurig Dr Pepper Inc.,Beverages - Non-Alcoholic,Consumer Staples
86,BKR,43.09B,Baker Hughes Company,Oil & Gas Equipment & Services,Energy
87,EA,43.05B,Electronic Arts Inc.,Electronic Gaming & Multimedia,Communication Services
88,TCOM,42.02B,Trip.com Group Limited,Travel Services,Consumer Discretionary
89,VRSK,41.16B,"Verisk Analytics, Inc.",Consulting Services,Industrials
90,XEL,41.12B,Xcel Energy Inc.,Utilities - Regulated Electric,Utilities
91,LULU,40.11B,Lululemon Athletica Inc.,Apparel Retail,Consumer Discretionary
92,CTSH,39.98B,Cognizant Technology Solutions Corporation,Information Technology Services,Technology
93,EXC,39.32B,Exelon Corporation,Utilities - Regulated Electric,Utilities
94,KHC,38.72B,The Kraft Heinz Company,Packaged Foods,Consumer Staples
95,GEHC,37.77B,GE HealthCare Technologies Inc.,Health Information Services,Healthcare
96,MCHP,37.51B,Microchip Technology Incorporated,Semiconductors,Technology
97,ACGL,37.49B,Arch Capital Group Ltd.,Insurance - Diversified,Financials
98,ARGX,37.16B,argenx SE,Biotechnology,Healthcare
99,CCEP,36.05B,Coca-Cola Europacific Partners PLC,Beverages - Non-Alcoholic,Consumer Staples
100,IDXX,35.09B,"IDEXX Laboratories, Inc.",Diagnostics & Research,Healthcare
101,HOOD,33.46B,"Robinhood Markets, Inc.",Capital Markets,Financials
102,TTWO,32.95B,"Take-Two Interactive Software, Inc.",Electronic Gaming & Multimedia,Communication Services
103,CSGP,32.91B,"CoStar Group, Inc.",Real Estate Services,Real Estate
104,FCNCA,32.75B,"First Citizens BancShares, Inc.",Banks - Regional,Financials
105,FCNCO,32.53B,"First Citizens BancShares, Inc.",Banks - Regional,Financials
106,FITB,32.48B,Fifth Third Bancorp,Banks - Regional,Financials
107,ALNY,32.37B,"Alnylam Pharmaceuticals, Inc.",Biotechnology,Healthcare
108,ZS,32.28B,"Zscaler, Inc.",Software - Infrastructure,Technology
109,TW,31.89B,Tradeweb Markets Inc.,Capital Markets,Financials
110,UAL,31.85B,"United Airlines Holdings, Inc.",Airlines,Industrials
111,WTW,31.69B,Willis Towers Watson Public Limited Company,Insurance Brokers,Financials
112,EBAY,31.13B,eBay Inc.,Internet Retail,Consumer Discretionary
113,ON,30.82B,ON Semiconductor Corporation,Semiconductors,Technology
114,ANSS,30.79B,"ANSYS, Inc.",Software - Application,Technology
115,TSCO,30.55B,Tractor Supply Company,Specialty Retail,Consumer Discretionary
116,DXCM,30.40B,"DexCom, Inc.",Medical Devices,Healthcare
117,MPWR,29.31B,"Monolithic Power Systems, Inc.",Semiconductors,Technology
118,BIDU,28.99B,"Baidu, Inc.",Internet Content & Information,Communication Services
119,BNTX,28.95B,BioNTech SE,Biotechnology,Healthcare
120,FER,28.22B,Ferrovial SE,Infrastructure Operations,Industrials
121,ZM,27.40B,"Zoom Video Communications, Inc.",Software - Application,Technology
122,TROW,27.32B,"T. Rowe Price Group, Inc.",Asset Management,Financials
123,ERIC,27.05B,Telefonaktiebolaget LM Ericsson (publ),Communication Equipment,Technology
124,HBAN,26.44B,Huntington Bancshares Incorporated,Banks - Regional,Financials
125,TPG,26.02B,TPG Inc.,Asset Management,Financials
126,NTAP,25.84B,"NetApp, Inc.",Computer Hardware,Technology
127,WBD,25.51B,"Warner Bros. Discovery, Inc.",Entertainment,Communication Services
128,MDB,25.22B,"MongoDB, Inc.",Software - Infrastructure,Technology
129,CINF,24.92B,Cincinnati Financial Corporation,Insurance - Property & Casualty,Financials
130,GFS,24.84B,GlobalFoundries Inc.,Semiconductors,Technology
