number,ticker,cap,name,industry,sector
1,BRK.A,"1,030.22B",Berkshire Hathaway Inc.,Insurance - Diversified,Financials
2,BRK.B,"1,027.36B",Berkshire Hathaway Inc.,Insurance - Diversified,Financials
3,TSM,822.63B,Taiwan Semiconductor Manufacturing Company Limited,Semiconductors,Technology
4,WMT,719.42B,Walmart Inc.,Discount Stores,Consumer Staples
5,JPM,704.65B,JPMorgan Chase & Co.,Banks - Diversified,Financials
6,LLY,679.83B,Eli Lilly and Company,Drug Manufacturers - General,Healthcare
7,V,613.77B,Visa Inc.,Credit Services,Financials
8,UNH,557.54B,UnitedHealth Group Incorporated,Healthcare Plans,Healthcare
9,XOM,527.28B,Exxon Mobil Corporation,Oil & Gas Integrated,Energy
10,ORCL,520.93B,Oracle Corporation,Software - Infrastructure,Technology
11,MA,483.33B,Mastercard Incorporated,Credit Services,Financials
12,NVO,463.62B,Novo Nordisk A/S,Drug Manufacturers - General,Healthcare
13,HD,425.82B,"The Home Depot, Inc.",Home Improvement Retail,Consumer Discretionary
14,PG,417.76B,The Procter & Gamble Company,Household & Personal Products,Consumer Staples
15,JNJ,375.06B,Johnson & Johnson,Drug Manufacturers - General,Healthcare
16,BAC,364.46B,Bank of America Corporation,Banks - Diversified,Financials
17,CRM,324.19B,"Salesforce, Inc.",Software - Application,Technology
18,ABBV,312.89B,AbbVie Inc.,Drug Manufacturers - General,Healthcare
19,CVX,288.18B,Chevron Corporation,Oil & Gas Integrated,Energy
20,KO,277.34B,The Coca-Cola Company,Beverages - Non-Alcoholic,Consumer Staples
21,SAP,272.58B,SAP SE,Software - Application,Technology
22,WFC,256.04B,Wells Fargo & Company,Banks - Diversified,Financials
23,MRK,255.90B,"Merck & Co., Inc.",Drug Manufacturers - General,Healthcare
24,BX,235.91B,Blackstone Inc.,Asset Management,Financials
25,TM,229.16B,Toyota Motor Corporation,Auto Manufacturers,Consumer Discretionary
26,ACN,225.75B,Accenture plc,Information Technology Services,Technology
27,NOW,217.19B,"ServiceNow, Inc.",Software - Application,Technology
28,MS,215.33B,Morgan Stanley,Capital Markets,Financials
29,AXP,215.00B,American Express Company,Credit Services,Financials
30,MCD,212.26B,McDonald's Corporation,Restaurants,Consumer Discretionary
31,DIS,210.07B,The Walt Disney Company,Entertainment,Communication Services
32,IBM,209.09B,International Business Machines Corporation,Information Technology Services,Technology
33,NVS,207.12B,Novartis AG,Drug Manufacturers - General,Healthcare
