"type","date","ticker","close","previous_close","percentage_close","vol","av20d","percentage_vol"
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","HIVE",2.78,3.09,-0.100323624595,1.7076418E7,9901262.95,1.724670689611
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","PLX",2.21,2.46,-0.101626016260,1265008.0,687549.95,1.839877960866
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","DGHI",2.47,2.75,-0.101818181818,506685.0,413775.0,1.224542323726
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","OSS",3.52,3.92,-0.102040816326,307924.0,247826.4,1.242498781405
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ARM",145.8775,162.52,-0.102402781196,1.1686558E7,6471954.55,1.805723125790
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SOFI",16.075,17.92,-0.102957589285,1.070705E8,4.46473374E7,2.398138528189
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","PCSA",0.6116,0.682,-0.103225806451,132653.0,71291.05,1.860724452788
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","UGRO",0.798,0.89,-0.103370786516,200265.0,73362.65,2.729795066017
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","AMSC",26.03,29.04,-0.103650137741,1617034.0,981584.45,1.647371247578
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ASX",9.73,10.86,-0.104051565377,1.819733E7,9765093.549999991,1.863508005000
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","AXIL",5.9122,6.6,-0.104212121212,22141.0,12440.3,1.779780230380
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","KSCP",10.17,11.37,-0.105540897097,272309.0,259307.85,1.050137895941
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","CLSK",10.305,11.53,-0.106244579358,3.4675094E7,2.417932645E7,1.434080228483
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","NTRBW",2.01,2.25,-0.106666666666,17928.0,16822.55,1.065712391997
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LBRT",19.83,22.2,-0.106756756756,3774665.0,2654302.3499999987,1.422093078431
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","PUMP",9.38,10.51,-0.107516650808,2149909.0,1442173.65,1.490742116942
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SKYT",9.79,10.97,-0.107566089334,915606.0,881094.8,1.039168543498
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LINK",8.43,9.4484,-0.107785445154,34531.0,33217.75,1.039534586177
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","VOLT",22.7,25.45,-0.108055009823,126454.0,108840.05,1.161833350866
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","URNJ",19.05,21.36,-0.108146067415,733422.0,250102.9,2.932480990824
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ECG",68.45,76.76,-0.108259510161,1705231.0,598061.8,2.851262193973
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BW",1.3,1.46,-0.109589041095,1412802.0,1255579.05,1.125219475428
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","RVYL",1.29,1.45,-0.110344827586,183162.0,120112.65000000033,1.524918482774
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","RVMDW",0.1067,0.12,-0.110833333333,174246.0,19867.0,8.770624653948
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","CW",341.19,383.84,-0.111114005835,659946.0,252538.00000000038,2.613254242925
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","NEOV",3.26,3.67,-0.111716621253,330395.0,320124.25,1.032083636275
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SOXW",20.83,23.46,-0.112105711849,2443.0,2215.4,1.102735397670
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","UROY",2.37,2.67,-0.112359550561,2709773.0,2212184.5,1.224930831944
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","RXT",2.37,2.67,-0.112359550561,1128802.0,772923.55,1.460431630010
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LFVN",21.51,24.24,-0.112623762376,510186.0,232008.90000000008,2.198993228277
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","KGS",44.0,49.61,-0.113082039911,1516042.0,889172.75,1.705002768022
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","EVTL",5.01,5.65,-0.113274336283,1137792.0,734142.8,1.549823821741
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","HECO",32.76,36.96,-0.113636363636,2513.0,968.5,2.594734124935
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ETHU",6.53,7.37,-0.113975576662,2.8028507E7,1.947257645E7,1.439383590146
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","PED",0.753,0.85,-0.114117647058,631878.0,196561.25,3.214662096420
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MPWR",600.79,678.43,-0.114440693955,2095592.0,802841.5999999993,2.610218503874
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","DECO",33.999,38.4,-0.114609374999,3032.0,1693.1,1.790797944598
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","ETHT",18.3,20.67,-0.114658925979,1457537.0,968101.8,1.505561708489
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","STSS",1.46,1.65,-0.115151515151,104031.0,54497.05000000028,1.908929015423
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SYM",27.74,31.38,-0.115997450605,3823830.0,2390910.85,1.599319355633
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","CRDL",1.29,1.46,-0.116438356164,364705.0,285854.55,1.275841157679
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MU",91.15,103.19,-0.116677972671,5.0570018E7,2.5070074349999987E7,2.017146710217
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","UEC",7.07,8.01,-0.117353308364,1.2100123E7,8031736.0,1.506538935044
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","NVMI",222.42,252.38,-0.118709881924,408843.0,215006.7,1.901536091665
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BKKT-WS",0.4395,0.498751,-0.118798759300,160932.0,74845.1,2.150200881554
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","TECX",41.18,46.74,-0.118955926401,213731.0,140456.04999999996,1.521693084776
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BKSY",13.16,14.96,-0.120320855614,1895893.0,1257478.4,1.507694287233
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","EVLVW",0.3076,0.35,-0.121142857142,24534.0,21804.3,1.125190902711
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","GDC",1.45,1.65,-0.121212121212,133610.0,75162.9,1.777605707070
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","LMB",90.0,102.44,-0.121436938695,280947.0,201005.75,1.397706284521
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","FLEX",38.85,44.27,-0.122430539868,8095572.0,2978172.05,2.718302322392
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","MYRG",137.39,156.75,-0.123508771929,226155.0,196964.6,1.148201250376
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SMHX",27.49,31.38,-0.123964308476,239386.0,77071.4,3.106028954969
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BKKT",25.77,29.44,-0.124660326086,457397.0,393626.75000000035,1.162006901207
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","DTM",97.52,111.41,-0.124674625258,2225674.0,811317.5000000013,2.743283609684
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","SMCI",29.105,33.27,-0.125187856928,5.9653109E7,3.279430155E7,1.819008369763
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","APH",67.49,77.19,-0.125663946107,2.2506221E7,7361933.049999999,3.057107535092
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","BWXT",111.46,127.65,-0.126831179005,2602858.0,839922.1500000019,3.098927680380
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","URG",1.1,1.26,-0.126984126984,4693532.0,3276261.7,1.432587634864
"AI-PRICE-DROP","2025-01-27T00:00:00.000000Z","AMDL",6.8,7.8,-0.128205128205,1.35678E7,1.114639285E7,1.217236839090
